"","time","x","y","s","a","dis","o","dir","event","nflId","displayName","jerseyNumber","position","frameId","team","gameId","playId","playDirection","route"
"1","2018-12-18T01:17:16.700Z",48.25,12.24,0.12,0.1,0.01,263.5,126.96,"None",2555277,"Eli Apple",25,"CB",1,"away",2018121700,98,"right",""
"2","2018-12-18T01:17:16.700Z",46.16,12.08,0,0,0,92.11,183.76,"None",2560813,"D.J. Moore",12,"WR",1,"home",2018121700,98,"right","HITCH"
"3","2018-12-18T01:17:16.799Z",48.26,12.25,0.1,0.09,0.01,263.5,121.47,"None",2555277,"Eli Apple",25,"CB",2,"away",2018121700,98,"right",""
"4","2018-12-18T01:17:16.799Z",46.16,12.09,0,0,0,92.11,185.44,"None",2560813,"D.J. Moore",12,"WR",2,"home",2018121700,98,"right","HITCH"
"5","2018-12-18T01:17:16.900Z",48.28,12.24,0.1,0.1,0.02,263.5,122.75,"None",2555277,"Eli Apple",25,"CB",3,"away",2018121700,98,"right",""
"6","2018-12-18T01:17:16.900Z",46.17,12.08,0,0,0,91.23,179.87,"None",2560813,"D.J. Moore",12,"WR",3,"home",2018121700,98,"right","HITCH"
"7","2018-12-18T01:17:17.000Z",48.28,12.23,0.09,0.09,0.01,264.35,122.2,"None",2555277,"Eli Apple",25,"CB",4,"away",2018121700,98,"right",""
"8","2018-12-18T01:17:17.000Z",46.17,12.08,0,0,0.01,91.23,171.75,"None",2560813,"D.J. Moore",12,"WR",4,"home",2018121700,98,"right","HITCH"
"9","2018-12-18T01:17:17.099Z",48.27,12.24,0.07,0.07,0.01,266.26,121.73,"None",2555277,"Eli Apple",25,"CB",5,"away",2018121700,98,"right",""
"10","2018-12-18T01:17:17.099Z",46.17,12.08,0,0,0,90.35,166.76,"None",2560813,"D.J. Moore",12,"WR",5,"home",2018121700,98,"right","HITCH"
"11","2018-12-18T01:17:17.200Z",48.26,12.24,0.06,0.06,0.01,267.85,124.46,"None",2555277,"Eli Apple",25,"CB",6,"away",2018121700,98,"right",""
"12","2018-12-18T01:17:17.200Z",46.17,12.09,0,0,0,90.35,160.26,"None",2560813,"D.J. Moore",12,"WR",6,"home",2018121700,98,"right","HITCH"
"13","2018-12-18T01:17:17.299Z",48.27,12.24,0.05,0.05,0,268.97,123.35,"None",2555277,"Eli Apple",25,"CB",7,"away",2018121700,98,"right",""
"14","2018-12-18T01:17:17.299Z",46.18,12.09,0,0,0,90.35,154.22,"None",2560813,"D.J. Moore",12,"WR",7,"home",2018121700,98,"right","HITCH"
"15","2018-12-18T01:17:17.400Z",48.27,12.24,0.04,0.05,0,269.6,121.75,"None",2555277,"Eli Apple",25,"CB",8,"away",2018121700,98,"right",""
"16","2018-12-18T01:17:17.400Z",46.18,12.09,0,0,0,90.35,147.89,"None",2560813,"D.J. Moore",12,"WR",8,"home",2018121700,98,"right","HITCH"
"17","2018-12-18T01:17:17.500Z",48.28,12.24,0.04,0.05,0.01,270.25,120.33,"None",2555277,"Eli Apple",25,"CB",9,"away",2018121700,98,"right",""
"18","2018-12-18T01:17:17.500Z",46.18,12.09,0,0,0,90.35,144.05,"None",2560813,"D.J. Moore",12,"WR",9,"home",2018121700,98,"right","HITCH"
"19","2018-12-18T01:17:17.599Z",48.3,12.25,0.04,0.05,0.02,271.87,112.11,"None",2555277,"Eli Apple",25,"CB",10,"away",2018121700,98,"right",""
"20","2018-12-18T01:17:17.599Z",46.18,12.09,0,0,0,89.68,135.92,"None",2560813,"D.J. Moore",12,"WR",10,"home",2018121700,98,"right","HITCH"
"21","2018-12-18T01:17:17.700Z",48.31,12.24,0.04,0.05,0.01,271.87,111.84,"ball_snap",2555277,"Eli Apple",25,"CB",11,"away",2018121700,98,"right",""
"22","2018-12-18T01:17:17.700Z",46.19,12.09,0.01,0.25,0.01,88.41,91.12,"ball_snap",2560813,"D.J. Moore",12,"WR",11,"home",2018121700,98,"right","HITCH"
