"","time","x","y","s","a","dis","o","dir","event","nflId","displayName","jerseyNumber","position","frameId","team","gameId","playId","playDirection","route"
"1","2018-09-30T18:24:24.799Z",70.44,15.6,0.01,0.01,0.01,259.55,25.46,"None",2543471,"Kelvin Benjamin",13,"WR",1,"away",2018093003,1735,"left","GO"
"2","2018-09-30T18:24:24.799Z",67.58,15.81,0.65,0.75,0.07,82.66,65.83,"None",2560952,"Jaire Alexander",23,"CB",1,"home",2018093003,1735,"left",""
"3","2018-09-30T18:24:24.900Z",70.44,15.6,0.01,0.01,0,259.55,21.92,"None",2543471,"Kelvin Benjamin",13,"WR",2,"away",2018093003,1735,"left","GO"
"4","2018-09-30T18:24:24.900Z",67.63,15.84,0.61,0.67,0.06,80.9,61.09,"None",2560952,"Jaire Alexander",23,"CB",2,"home",2018093003,1735,"left",""
"5","2018-09-30T18:24:25.000Z",70.44,15.6,0.01,0.01,0,259.55,21.97,"None",2543471,"Kelvin Benjamin",13,"WR",3,"away",2018093003,1735,"left","GO"
"6","2018-09-30T18:24:25.000Z",67.68,15.86,0.52,0.62,0.06,77.15,61.1,"None",2560952,"Jaire Alexander",23,"CB",3,"home",2018093003,1735,"left",""
"7","2018-09-30T18:24:25.099Z",70.44,15.6,0.01,0.01,0,260.5,26.05,"None",2543471,"Kelvin Benjamin",13,"WR",4,"away",2018093003,1735,"left","GO"
"8","2018-09-30T18:24:25.099Z",67.72,15.88,0.42,0.72,0.05,77.15,69.23,"None",2560952,"Jaire Alexander",23,"CB",4,"home",2018093003,1735,"left",""
"9","2018-09-30T18:24:25.200Z",70.44,15.59,0.01,0.01,0.01,260.5,33.31,"None",2543471,"Kelvin Benjamin",13,"WR",5,"away",2018093003,1735,"left","GO"
"10","2018-09-30T18:24:25.200Z",67.76,15.89,0.3,0.87,0.04,75.09,76.52,"None",2560952,"Jaire Alexander",23,"CB",5,"home",2018093003,1735,"left",""
"11","2018-09-30T18:24:25.299Z",70.44,15.59,0.01,0.01,0,260.5,31.35,"None",2543471,"Kelvin Benjamin",13,"WR",6,"away",2018093003,1735,"left","GO"
"12","2018-09-30T18:24:25.299Z",67.78,15.89,0.22,0.93,0.03,74.06,98.22,"None",2560952,"Jaire Alexander",23,"CB",6,"home",2018093003,1735,"left",""
